City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Bethel,US,41.3712,-73.414,25.48,71,0,1.01,clear sky
108,Holguin,CU,20.8872,-76.2631,69.3,94,40,4.61,scattered clouds
109,Zhezkazgan,KZ,47.8043,67.7144,4.98,78,75,0.0,broken clouds
110,Gushikawa,JP,26.3544,127.8686,60.8,68,100,13.8,overcast clouds
111,Torbay,CA,47.6666,-52.7314,13.57,78,40,20.71,scattered clouds
112,Narsaq,GL,60.9167,-46.05,5.22,85,13,5.08,few clouds
113,Lac Du Bonnet,CA,50.2536,-96.0612,-1.75,100,100,5.75,overcast clouds
114,Dikson,RU,73.5069,80.5464,-18.49,88,100,3.49,overcast clouds
115,Umm Lajj,SA,25.0213,37.2685,71.13,47,0,11.03,clear sky
116,Boden,SE,65.8252,21.6886,17.6,89,100,9.04,overcast clouds
117,San Andres,CO,12.5847,-81.7006,80.62,69,20,16.11,few clouds
118,Cabo San Lucas,MX,22.8909,-109.9124,69.51,50,3,7.0,clear sky
119,Cherskiy,RU,68.75,161.3,-34.55,100,79,2.8,broken clouds
120,Labrea,BR,-7.2586,-64.7981,71.96,99,100,1.45,overcast clouds
121,Thatta,PK,24.7475,67.9235,85.51,16,0,3.2,clear sky
122,Honningsvag,NO,70.9821,25.9704,27.93,62,93,14.88,snow
123,Mehamn,NO,71.0357,27.8492,30.11,86,40,8.05,light snow
124,Parabel,RU,58.6978,81.4825,5.02,88,100,5.59,overcast clouds
125,Saint-Philippe,RE,-21.3585,55.7679,85.59,83,55,14.61,light rain
126,Tiksi,RU,71.6872,128.8694,-22.25,99,38,2.19,scattered clouds
127,Atar,MR,20.5169,-13.0499,63.05,25,79,10.87,broken clouds
128,Fairbanks,US,64.8378,-147.7164,-2.76,75,0,1.01,haze
129,Lianran,CN,24.9227,102.485,64.94,18,0,16.96,clear sky
130,Maniitsoq,GL,65.4167,-52.9,0.3,92,100,5.95,overcast clouds
131,Tiznit,MA,29.5833,-9.5,57.49,34,0,6.13,clear sky
132,Jinka,ET,5.65,36.65,83.05,29,48,1.52,scattered clouds
133,Kruisfontein,ZA,-34.0033,24.7314,70.88,73,28,24.47,scattered clouds
134,Akureyri,IS,65.6835,-18.0878,31.93,93,100,11.5,overcast clouds
135,Qeshm,IR,26.9581,56.2719,76.89,51,0,4.14,clear sky
136,Tsurugi,JP,36.45,136.6333,35.29,69,100,19.15,snow
137,Bambous Virieux,MU,-20.3428,57.7575,85.21,100,75,11.5,light rain
138,Punta Arenas,CL,-53.15,-70.9167,37.51,81,20,8.05,few clouds
139,Clyde River,CA,70.4692,-68.5914,-36.17,67,0,3.44,clear sky
140,Laguna,US,38.421,-121.4238,55.69,37,0,16.11,clear sky
141,Souillac,MU,-20.5167,57.5167,85.35,100,75,11.5,light rain
142,Asfi,MA,32.2994,-9.2372,51.67,74,0,15.66,clear sky
143,Shingu,JP,33.7333,135.9833,41.99,47,23,14.54,few clouds
144,Kaitangata,NZ,-46.2817,169.8464,55.92,72,0,3.4,clear sky
145,Norman Wells,CA,65.282,-126.8329,-36.36,67,0,3.44,clear sky
146,Husavik,IS,66.0449,-17.3389,31.91,77,100,27.67,overcast clouds
147,Fortuna,US,40.5982,-124.1573,46.33,90,0,8.05,clear sky
148,Gerash,IR,27.6652,54.1371,66.34,31,0,2.48,clear sky
149,Samarai,PG,-10.6167,150.6667,81.86,79,100,8.03,moderate rain
150,Mercedes,AR,-34.6515,-59.4307,71.83,50,0,8.28,clear sky
151,Podgornoye,RU,51.735,39.1496,26.82,80,0,8.95,clear sky
152,Hervey Bay,AU,-25.2986,152.8535,78.03,71,14,8.99,few clouds
153,Sioux Lookout,CA,50.1001,-91.917,14.38,92,100,4.61,overcast clouds
154,Sechura,PE,-5.5569,-80.8222,72.46,74,93,11.74,overcast clouds
155,Aksum,ET,14.1245,38.7244,74.39,23,1,2.84,clear sky
156,Sinjar,IQ,36.3209,41.8754,54.5,43,52,2.19,broken clouds
157,Cape Town,ZA,-33.9258,18.4232,73.11,72,75,18.41,broken clouds
158,Tilichiki,RU,60.4667,166.1,-17.0,92,7,10.98,clear sky
159,Chuy,UY,-33.6971,-53.4616,63.05,91,0,6.53,heavy intensity rain
160,Ust-Tsilma,RU,65.441,52.1498,20.79,91,100,4.36,overcast clouds
161,Santo Antonio Do Monte,BR,-20.0872,-45.2936,63.19,95,78,6.6,broken clouds
162,Amapa,BR,1.0,-52.0,70.02,100,100,1.63,overcast clouds
163,Lasa,IT,46.6166,10.7002,33.26,60,100,2.91,overcast clouds
164,Mardin,TR,37.3131,40.7436,51.06,38,0,3.44,clear sky
