City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,East London,ZA,2022-02-15 21:53:58,-33.0153,27.9116,75.16,83,100,7.47
117,Dhidhdhoo,MV,2022-02-15 21:53:58,6.8833,73.1,80.82,70,89,1.3
118,Metro,ID,2022-02-15 21:53:59,-5.1131,105.3067,74.37,92,86,5.59
119,Broome,US,2022-02-15 21:53:59,42.2506,-75.833,27.81,53,97,3.0
120,Ahipara,NZ,2022-02-15 21:53:59,-35.1667,173.1667,69.44,58,90,5.32
121,Nazare,BR,2022-02-15 21:54:00,-13.035,-39.0144,76.98,86,6,4.09
122,Candolim,IN,2022-02-15 21:54:00,15.5181,73.7626,69.31,78,0,7.87
123,Fairbanks,US,2022-02-15 21:54:01,64.8378,-147.7164,5.31,78,75,5.75
124,Cloquet,US,2022-02-15 21:54:01,46.7216,-92.4594,22.53,77,40,10.36
125,Dolores,AR,2022-02-15 21:54:02,-36.3132,-57.6792,83.75,38,0,5.08
126,Karratha,AU,2022-02-15 21:54:02,-20.7377,116.8463,86.25,66,5,8.39
127,Atar,MR,2022-02-15 21:54:02,20.5169,-13.0499,70.11,18,100,10.47
128,Astoria,US,2022-02-15 21:51:24,46.1879,-123.8313,50.94,85,100,1.99
129,Muisne,EC,2022-02-15 21:54:03,0.6,-80.0333,84.31,86,95,8.01
130,Praia,CV,2022-02-15 21:54:03,14.9215,-23.5087,73.94,68,0,20.71
131,Saint George,US,2022-02-15 21:49:39,37.1041,-113.5841,68.25,13,20,17.0
132,Narsaq,GL,2022-02-15 21:54:04,60.9167,-46.05,-3.37,74,55,11.07
133,Nikolskoye,RU,2022-02-15 21:54:04,59.7035,30.7861,37.71,98,100,11.95
134,Khatanga,RU,2022-02-15 21:55:05,71.9667,102.5,-27.69,100,92,4.97
135,Thompson,CA,2022-02-15 21:55:05,55.7435,-97.8558,5.16,56,75,8.05
136,Pangkalanbuun,ID,2022-02-15 21:55:06,-2.6833,111.6167,74.17,97,100,2.06
137,Norman Wells,CA,2022-02-15 21:52:39,65.282,-126.8329,-23.76,62,20,3.44
138,Turukhansk,RU,2022-02-15 21:55:06,65.8167,87.9833,-16.08,85,2,8.63
139,Acapulco,MX,2022-02-15 21:50:46,16.8634,-99.8901,84.13,61,0,10.4
140,Sao Jose Da Coroa Grande,BR,2022-02-15 21:55:07,-8.8978,-35.1478,79.83,74,0,9.4
141,Muyezerskiy,RU,2022-02-15 21:55:07,63.9333,31.65,23.11,96,100,8.77
142,Saldanha,ZA,2022-02-15 21:55:08,-33.0117,17.9442,68.05,85,41,12.55
143,Bambous Virieux,MU,2022-02-15 21:55:08,-20.3428,57.7575,79.05,89,40,3.44
144,Portland,US,2022-02-15 21:54:02,45.5234,-122.6762,51.01,79,100,3.0
145,Bandarbeyla,SO,2022-02-15 21:55:09,9.4942,50.8122,74.7,59,0,15.43
146,Sangar,RU,2022-02-15 21:55:09,63.9242,127.4739,-37.26,100,27,0.27
147,Sao Filipe,CV,2022-02-15 21:55:10,14.8961,-24.4956,74.16,64,98,10.96
